id_despesa,competencia,categoria,descricao,valor,status
DESP00001,2026-01-01,Folha de pagamento,Folha de pagamento - 01/2026,473299.64,Pago
DESP00002,2026-01-01,Fornecedores,Fornecedores - 01/2026,80321.48,Em aberto
DESP00003,2026-01-01,Infraestrutura,Infraestrutura - 01/2026,52392.14,Pago
DESP00004,2026-01-01,Tecnologia,Tecnologia - 01/2026,21409.88,Pago
DESP00005,2026-01-01,Material didático,Material didático - 01/2026,22689.22,Pago
DESP00006,2026-01-01,Manutenção,Manutenção - 01/2026,11303.45,Pago
DESP00007,2026-01-01,Marketing,Marketing - 01/2026,26091.91,Pago
DESP00008,2026-01-01,Administrativo,Administrativo - 01/2026,23202.21,Pago
DESP00009,2026-02-01,Folha de pagamento,Folha de pagamento - 02/2026,451804.73,Em aberto
DESP00010,2026-02-01,Fornecedores,Fornecedores - 02/2026,117840.75,Pago
DESP00011,2026-02-01,Infraestrutura,Infraestrutura - 02/2026,52663.63,Pago
DESP00012,2026-02-01,Tecnologia,Tecnologia - 02/2026,26875.79,Pago
DESP00013,2026-02-01,Material didático,Material didático - 02/2026,11768.88,Pago
DESP00014,2026-02-01,Manutenção,Manutenção - 02/2026,34391.02,Em aberto
DESP00015,2026-02-01,Marketing,Marketing - 02/2026,32624.21,Em aberto
DESP00016,2026-02-01,Administrativo,Administrativo - 02/2026,29025.38,Pago
DESP00017,2026-03-01,Folha de pagamento,Folha de pagamento - 03/2026,475278.26,Pago
DESP00018,2026-03-01,Fornecedores,Fornecedores - 03/2026,91561.32,Pago
DESP00019,2026-03-01,Infraestrutura,Infraestrutura - 03/2026,44930.91,Pago
DESP00020,2026-03-01,Tecnologia,Tecnologia - 03/2026,22868.41,Pago
DESP00021,2026-03-01,Material didático,Material didático - 03/2026,18711.26,Em aberto
DESP00022,2026-03-01,Manutenção,Manutenção - 03/2026,25561.69,Em aberto
DESP00023,2026-03-01,Marketing,Marketing - 03/2026,22019.91,Pago
DESP00024,2026-03-01,Administrativo,Administrativo - 03/2026,20803.98,Pago
DESP00025,2026-04-01,Folha de pagamento,Folha de pagamento - 04/2026,488282.9,Pago
DESP00026,2026-04-01,Fornecedores,Fornecedores - 04/2026,80751.02,Em aberto
DESP00027,2026-04-01,Infraestrutura,Infraestrutura - 04/2026,68249.72,Pago
DESP00028,2026-04-01,Tecnologia,Tecnologia - 04/2026,19014.71,Pago
DESP00029,2026-04-01,Material didático,Material didático - 04/2026,26920.11,Pago
DESP00030,2026-04-01,Manutenção,Manutenção - 04/2026,22140.3,Pago
DESP00031,2026-04-01,Marketing,Marketing - 04/2026,25656.72,Pago
DESP00032,2026-04-01,Administrativo,Administrativo - 04/2026,25168.51,Em aberto
