id_frequencia,id_aluno,competencia,percentual_frequencia
FREQ00000001,ALU00001,2026-01-01,89.02
FREQ00000002,ALU00001,2026-02-01,94.28
FREQ00000003,ALU00001,2026-03-01,92.14
FREQ00000004,ALU00001,2026-04-01,91.22
FREQ00000005,ALU00001,2026-05-01,97.19
FREQ00000006,ALU00001,2026-06-01,95.3
FREQ00000007,ALU00001,2026-07-01,97.23
FREQ00000008,ALU00001,2026-08-01,89.27
FREQ00000009,ALU00001,2026-09-01,90.21
FREQ00000010,ALU00001,2026-10-01,91.2
FREQ00000011,ALU00001,2026-11-01,93.7
FREQ00000012,ALU00001,2026-12-01,92.45
FREQ00000013,ALU00002,2026-01-01,94.06
FREQ00000014,ALU00002,2026-02-01,98.05
FREQ00000015,ALU00002,2026-03-01,95.56
FREQ00000016,ALU00002,2026-04-01,89.98
FREQ00000017,ALU00002,2026-05-01,90.13
FREQ00000018,ALU00002,2026-06-01,87.11
FREQ00000019,ALU00002,2026-07-01,93.25
FREQ00000020,ALU00002,2026-08-01,96.25
FREQ00000021,ALU00002,2026-09-01,87.29
FREQ00000022,ALU00002,2026-10-01,94.12
FREQ00000023,ALU00002,2026-11-01,88.05
FREQ00000024,ALU00002,2026-12-01,92.24
FREQ00000025,ALU00003,2026-01-01,91.63
FREQ00000026,ALU00003,2026-02-01,98.88
FREQ00000027,ALU00003,2026-03-01,95.55
FREQ00000028,ALU00003,2026-04-01,87.96
FREQ00000029,ALU00003,2026-05-01,92.74
FREQ00000030,ALU00003,2026-06-01,88.27
FREQ00000031,ALU00003,2026-07-01,95.71
FREQ00000032,ALU00003,2026-08-01,87.05
FREQ00000033,ALU00003,2026-09-01,92.04
FREQ00000034,ALU00003,2026-10-01,91.09
FREQ00000035,ALU00003,2026-11-01,93.11
FREQ00000036,ALU00003,2026-12-01,88.3
FREQ00000037,ALU00004,2026-01-01,90.47
FREQ00000038,ALU00004,2026-02-01,95.18
FREQ00000039,ALU00004,2026-03-01,93.83
FREQ00000040,ALU00004,2026-04-01,93.53
FREQ00000041,ALU00004,2026-05-01,91.22
FREQ00000042,ALU00004,2026-06-01,89.88
FREQ00000043,ALU00004,2026-07-01,93.18
FREQ00000044,ALU00004,2026-08-01,98.7
FREQ00000045,ALU00004,2026-09-01,96.8
FREQ00000046,ALU00004,2026-10-01,94.68
FREQ00000047,ALU00004,2026-11-01,89.41
FREQ00000048,ALU00004,2026-12-01,94.79
FREQ00000049,ALU00005,2026-01-01,97.01
FREQ00000050,ALU00005,2026-02-01,91.65
FREQ00000051,ALU00005,2026-03-01,90.14
FREQ00000052,ALU00005,2026-04-01,88.43
FREQ00000053,ALU00005,2026-05-01,94.65
FREQ00000054,ALU00005,2026-06-01,90.03
FREQ00000055,ALU00005,2026-07-01,92.64
FREQ00000056,ALU00005,2026-08-01,94.35
FREQ00000057,ALU00005,2026-09-01,97.33
FREQ00000058,ALU00005,2026-10-01,95.95
FREQ00000059,ALU00005,2026-11-01,92.0
FREQ00000060,ALU00005,2026-12-01,97.32
FREQ00000061,ALU00006,2026-01-01,88.51
FREQ00000062,ALU00006,2026-02-01,96.26
FREQ00000063,ALU00006,2026-03-01,91.76
FREQ00000064,ALU00006,2026-04-01,94.05
FREQ00000065,ALU00006,2026-05-01,92.16
FREQ00000066,ALU00006,2026-06-01,92.41
FREQ00000067,ALU00006,2026-07-01,95.29
FREQ00000068,ALU00006,2026-08-01,92.24
FREQ00000069,ALU00006,2026-09-01,87.7
FREQ00000070,ALU00006,2026-10-01,97.6
FREQ00000071,ALU00006,2026-11-01,95.11
FREQ00000072,ALU00006,2026-12-01,94.09
FREQ00000073,ALU00007,2026-01-01,89.32
FREQ00000074,ALU00007,2026-02-01,91.13
FREQ00000075,ALU00007,2026-03-01,97.03
FREQ00000076,ALU00007,2026-04-01,88.64
FREQ00000077,ALU00007,2026-05-01,98.93
FREQ00000078,ALU00007,2026-06-01,98.3
FREQ00000079,ALU00007,2026-07-01,88.01
FREQ00000080,ALU00007,2026-08-01,92.32
FREQ00000081,ALU00007,2026-09-01,91.05
FREQ00000082,ALU00007,2026-10-01,92.66
FREQ00000083,ALU00007,2026-11-01,92.86
FREQ00000084,ALU00007,2026-12-01,93.76
FREQ00000085,ALU00008,2026-01-01,88.77
FREQ00000086,ALU00008,2026-02-01,91.06
FREQ00000087,ALU00008,2026-03-01,98.8
FREQ00000088,ALU00008,2026-04-01,96.17
FREQ00000089,ALU00008,2026-05-01,90.03
FREQ00000090,ALU00008,2026-06-01,89.62
FREQ00000091,ALU00008,2026-07-01,96.96
FREQ00000092,ALU00008,2026-08-01,95.68
FREQ00000093,ALU00008,2026-09-01,98.56
FREQ00000094,ALU00008,2026-10-01,92.06
FREQ00000095,ALU00008,2026-11-01,90.72
FREQ00000096,ALU00008,2026-12-01,95.06
FREQ00000097,ALU00009,2026-01-01,92.14
FREQ00000098,ALU00009,2026-02-01,97.4
FREQ00000099,ALU00009,2026-03-01,91.85
FREQ00000100,ALU00009,2026-04-01,88.93
FREQ00000101,ALU00009,2026-05-01,88.29
FREQ00000102,ALU00009,2026-06-01,89.0
FREQ00000103,ALU00009,2026-07-01,90.6
FREQ00000104,ALU00009,2026-08-01,97.93
FREQ00000105,ALU00009,2026-09-01,88.61
FREQ00000106,ALU00009,2026-10-01,92.51
FREQ00000107,ALU00009,2026-11-01,92.6
FREQ00000108,ALU00009,2026-12-01,91.33
FREQ00000109,ALU00010,2026-01-01,92.74
FREQ00000110,ALU00010,2026-02-01,92.32
FREQ00000111,ALU00010,2026-03-01,88.22
FREQ00000112,ALU00010,2026-04-01,95.31
FREQ00000113,ALU00010,2026-05-01,93.57
FREQ00000114,ALU00010,2026-06-01,96.52
FREQ00000115,ALU00010,2026-07-01,88.46
FREQ00000116,ALU00010,2026-08-01,93.29
