id_nota,id_aluno,disciplina,periodo,nota
NOT00000001,ALU00001,Português,2º Bimestre,9.4
NOT00000002,ALU00001,Matemática,1º Bimestre,5.7
NOT00000003,ALU00001,Ciências,3º Bimestre,9.4
NOT00000004,ALU00001,História,3º Bimestre,7.0
NOT00000005,ALU00001,Geografia,1º Bimestre,8.7
NOT00000006,ALU00001,Inglês,2º Bimestre,9.3
NOT00000007,ALU00002,Português,4º Bimestre,9.3
NOT00000008,ALU00002,Matemática,2º Bimestre,9.8
NOT00000009,ALU00002,Ciências,4º Bimestre,7.2
NOT00000010,ALU00002,História,4º Bimestre,7.9
NOT00000011,ALU00002,Geografia,3º Bimestre,6.2
NOT00000012,ALU00002,Inglês,4º Bimestre,7.8
NOT00000013,ALU00003,Português,2º Bimestre,5.9
NOT00000014,ALU00003,Matemática,2º Bimestre,6.6
NOT00000015,ALU00003,Ciências,2º Bimestre,8.1
NOT00000016,ALU00003,História,3º Bimestre,7.3
NOT00000017,ALU00003,Geografia,4º Bimestre,7.7
NOT00000018,ALU00003,Inglês,1º Bimestre,8.5
NOT00000019,ALU00004,Português,3º Bimestre,8.5
NOT00000020,ALU00004,Matemática,2º Bimestre,7.4
NOT00000021,ALU00004,Ciências,4º Bimestre,5.9
NOT00000022,ALU00004,História,1º Bimestre,9.6
NOT00000023,ALU00004,Geografia,2º Bimestre,7.0
NOT00000024,ALU00004,Inglês,1º Bimestre,7.8
NOT00000025,ALU00005,Português,1º Bimestre,7.5
NOT00000026,ALU00005,Matemática,3º Bimestre,9.2
NOT00000027,ALU00005,Ciências,4º Bimestre,8.8
NOT00000028,ALU00005,História,1º Bimestre,8.8
NOT00000029,ALU00005,Geografia,1º Bimestre,8.8
NOT00000030,ALU00005,Inglês,3º Bimestre,8.7
NOT00000031,ALU00006,Português,2º Bimestre,7.2
NOT00000032,ALU00006,Matemática,2º Bimestre,7.2
NOT00000033,ALU00006,Ciências,2º Bimestre,5.6
NOT00000034,ALU00006,História,3º Bimestre,6.3
NOT00000035,ALU00006,Geografia,4º Bimestre,8.6
NOT00000036,ALU00006,Inglês,4º Bimestre,5.5
NOT00000037,ALU00007,Português,4º Bimestre,8.8
NOT00000038,ALU00007,Matemática,2º Bimestre,6.4
NOT00000039,ALU00007,Ciências,3º Bimestre,9.2
NOT00000040,ALU00007,História,4º Bimestre,8.0
NOT00000041,ALU00007,Geografia,3º Bimestre,9.7
NOT00000042,ALU00007,Inglês,3º Bimestre,6.2
NOT00000043,ALU00008,Português,3º Bimestre,9.3
NOT00000044,ALU00008,Matemática,3º Bimestre,8.0
NOT00000045,ALU00008,Ciências,3º Bimestre,9.5
NOT00000046,ALU00008,História,1º Bimestre,6.9
NOT00000047,ALU00008,Geografia,4º Bimestre,8.3
NOT00000048,ALU00008,Inglês,4º Bimestre,7.8
NOT00000049,ALU00009,Português,1º Bimestre,8.6
NOT00000050,ALU00009,Matemática,1º Bimestre,6.1
NOT00000051,ALU00009,Ciências,1º Bimestre,8.4
NOT00000052,ALU00009,História,4º Bimestre,7.8
NOT00000053,ALU00009,Geografia,4º Bimestre,7.5
NOT00000054,ALU00009,Inglês,1º Bimestre,7.9
NOT00000055,ALU00010,Português,1º Bimestre,6.3
NOT00000056,ALU00010,Matemática,3º Bimestre,8.9
NOT00000057,ALU00010,Ciências,4º Bimestre,9.6
