id_turma,codigo_segmento,segmento,serie,turno,capacidade,id_professor,ano_letivo,status
TURMA001,EI,Educação Infantil,Infantil 3,Manhã,25,PROF0092,2026,Ativo
TURMA002,EI,Educação Infantil,Infantil 1,Tarde,25,PROF0044,2026,Ativo
TURMA003,EI,Educação Infantil,Infantil 3,Tarde,25,PROF0080,2026,Ativo
TURMA004,EI,Educação Infantil,Infantil 1,Manhã,25,PROF0005,2026,Ativo
TURMA005,EI,Educação Infantil,Infantil 1,Tarde,25,PROF0062,2026,Ativo
TURMA006,EI,Educação Infantil,Infantil 3,Manhã,25,PROF0080,2026,Ativo
TURMA007,EI,Educação Infantil,Infantil 3,Manhã,25,PROF0022,2026,Ativo
TURMA008,EI,Educação Infantil,Infantil 1,Manhã,25,PROF0102,2026,Ativo
TURMA009,EI,Educação Infantil,Infantil 1,Tarde,25,PROF0062,2026,Ativo
TURMA010,EI,Educação Infantil,Infantil 2,Manhã,25,PROF0080,2026,Ativo
TURMA011,EI,Educação Infantil,Infantil 1,Manhã,25,PROF0056,2026,Ativo
TURMA012,EI,Educação Infantil,Infantil 1,Manhã,25,PROF0105,2026,Ativo
TURMA013,FI,Ensino Fundamental I,5º Ano,Manhã,28,PROF0110,2026,Ativo
TURMA014,FI,Ensino Fundamental I,2º Ano,Tarde,28,PROF0047,2026,Ativo
TURMA015,FI,Ensino Fundamental I,4º Ano,Manhã,28,PROF0043,2026,Ativo
TURMA016,FI,Ensino Fundamental I,1º Ano,Tarde,28,PROF0034,2026,Ativo
TURMA017,FI,Ensino Fundamental I,4º Ano,Tarde,28,PROF0119,2026,Ativo
TURMA018,FI,Ensino Fundamental I,5º Ano,Tarde,28,PROF0112,2026,Ativo
TURMA019,FI,Ensino Fundamental I,3º Ano,Manhã,28,PROF0119,2026,Ativo
TURMA020,FI,Ensino Fundamental I,5º Ano,Manhã,28,PROF0117,2026,Ativo
TURMA021,FI,Ensino Fundamental I,3º Ano,Manhã,28,PROF0042,2026,Ativo
TURMA022,FI,Ensino Fundamental I,4º Ano,Manhã,28,PROF0070,2026,Ativo
TURMA023,FI,Ensino Fundamental I,5º Ano,Manhã,28,PROF0070,2026,Ativo
TURMA024,FI,Ensino Fundamental I,5º Ano,Manhã,28,PROF0004,2026,Ativo
TURMA025,FI,Ensino Fundamental I,3º Ano,Manhã,28,PROF0100,2026,Ativo
TURMA026,FI,Ensino Fundamental I,5º Ano,Manhã,28,PROF0066,2026,Ativo
TURMA027,FI,Ensino Fundamental I,4º Ano,Manhã,28,PROF0116,2026,Ativo
TURMA028,FI,Ensino Fundamental I,5º Ano,Tarde,28,PROF0042,2026,Ativo
TURMA029,FII,Ensino Fundamental II,6º Ano,Manhã,30,PROF0003,2026,Ativo
TURMA030,FII,Ensino Fundamental II,8º Ano,Manhã,30,PROF0089,2026,Ativo
TURMA031,FII,Ensino Fundamental II,8º Ano,Manhã,30,PROF0091,2026,Ativo
TURMA032,FII,Ensino Fundamental II,8º Ano,Manhã,30,PROF0086,2026,Ativo
TURMA033,FII,Ensino Fundamental II,6º Ano,Tarde,30,PROF0038,2026,Ativo
TURMA034,FII,Ensino Fundamental II,6º Ano,Manhã,30,PROF0073,2026,Ativo
TURMA035,FII,Ensino Fundamental II,9º Ano,Manhã,30,PROF0086,2026,Ativo
TURMA036,FII,Ensino Fundamental II,8º Ano,Tarde,30,PROF0091,2026,Ativo
TURMA037,FII,Ensino Fundamental II,8º Ano,Tarde,30,PROF0091,2026,Ativo
TURMA038,FII,Ensino Fundamental II,9º Ano,Tarde,30,PROF0063,2026,Ativo
TURMA039,FII,Ensino Fundamental II,8º Ano,Manhã,30,PROF0029,2026,Ativo
TURMA040,FII,Ensino Fundamental II,6º Ano,Manhã,30,PROF0051,2026,Ativo
TURMA041,EM,Ensino Médio,3ª Série,Tarde,32,PROF0065,2026,Ativo
TURMA042,EM,Ensino Médio,1ª Série,Tarde,32,PROF0020,2026,Ativo
TURMA043,EM,Ensino Médio,1ª Série,Manhã,32,PROF0064,2026,Ativo
TURMA044,EM,Ensino Médio,1ª Série,Tarde,32,PROF0093,2026,Ativo
TURMA045,EM,Ensino Médio,2ª Série,Manhã,32,PROF0111,2026,Ativo
TURMA046,EM,Ensino Médio,3ª Série,Tarde,32,PROF0093,2026,Ativo
TURMA047,EM,Ensino Médio,3ª Série,Tarde,32,PROF0032,2026,Ativo
TURMA048,EM,Ensino Médio,2ª Série,Tarde,32,PROF0031,2026,Ativo
