id_matricula,id_aluno,id_turma,data_matricula,tipo_matricula,status,valor_matricula
MAT000001,ALU00001,TURMA001,2025-09-01,Nova matrícula,Ativo,550
MAT000002,ALU00002,TURMA001,2025-10-17,Nova matrícula,Ativo,650
MAT000003,ALU00003,TURMA001,2025-11-08,Transferência,Ativo,650
MAT000004,ALU00004,TURMA001,2025-10-14,Nova matrícula,Ativo,550
MAT000005,ALU00005,TURMA001,2025-10-14,Transferência,Ativo,650
MAT000006,ALU00006,TURMA001,2025-09-05,Transferência,Ativo,450
MAT000007,ALU00007,TURMA001,2025-11-02,Transferência,Ativo,350
MAT000008,ALU00008,TURMA001,2025-10-12,Transferência,Ativo,650
MAT000009,ALU00009,TURMA001,2025-11-18,Rematrícula,Ativo,350
MAT000010,ALU00010,TURMA001,2025-09-23,Transferência,Ativo,650
MAT000011,ALU00011,TURMA001,2025-09-07,Transferência,Ativo,650
MAT000012,ALU00012,TURMA001,2025-10-03,Nova matrícula,Ativo,350
MAT000013,ALU00013,TURMA001,2025-11-23,Transferência,Ativo,350
MAT000014,ALU00014,TURMA001,2025-09-16,Nova matrícula,Ativo,350
MAT000015,ALU00015,TURMA001,2025-12-24,Nova matrícula,Ativo,350
MAT000016,ALU00016,TURMA001,2025-12-01,Nova matrícula,Ativo,550
MAT000017,ALU00017,TURMA001,2025-10-24,Rematrícula,Ativo,350
MAT000018,ALU00018,TURMA001,2025-10-01,Rematrícula,Ativo,350
MAT000019,ALU00019,TURMA001,2025-10-20,Rematrícula,Ativo,350
MAT000020,ALU00020,TURMA002,2025-12-06,Rematrícula,Ativo,550
MAT000021,ALU00021,TURMA002,2025-12-16,Transferência,Ativo,450
MAT000022,ALU00022,TURMA002,2025-10-09,Rematrícula,Ativo,550
MAT000023,ALU00023,TURMA002,2025-12-28,Nova matrícula,Ativo,450
MAT000024,ALU00024,TURMA002,2025-12-16,Nova matrícula,Ativo,350
MAT000025,ALU00025,TURMA002,2025-11-16,Nova matrícula,Ativo,650
MAT000026,ALU00026,TURMA002,2025-11-25,Nova matrícula,Ativo,650
MAT000027,ALU00027,TURMA002,2025-11-08,Rematrícula,Ativo,350
MAT000028,ALU00028,TURMA002,2025-11-16,Rematrícula,Ativo,450
MAT000029,ALU00029,TURMA002,2025-10-11,Transferência,Ativo,450
MAT000030,ALU00030,TURMA002,2025-12-16,Rematrícula,Ativo,450
MAT000031,ALU00031,TURMA002,2025-09-09,Rematrícula,Ativo,650
MAT000032,ALU00032,TURMA002,2025-09-22,Rematrícula,Ativo,650
MAT000033,ALU00033,TURMA002,2025-10-26,Rematrícula,Ativo,550
MAT000034,ALU00034,TURMA002,2025-09-27,Rematrícula,Ativo,350
MAT000035,ALU00035,TURMA002,2025-10-08,Nova matrícula,Ativo,550
MAT000036,ALU00036,TURMA002,2025-11-25,Transferência,Ativo,450
MAT000037,ALU00037,TURMA002,2025-09-18,Nova matrícula,Ativo,350
MAT000038,ALU00038,TURMA002,2025-12-12,Transferência,Ativo,650
MAT000039,ALU00039,TURMA002,2025-09-04,Transferência,Ativo,350
MAT000040,ALU00040,TURMA002,2025-11-23,Rematrícula,Ativo,650
MAT000041,ALU00041,TURMA002,2025-09-19,Transferência,Ativo,550
