id_mensalidade,id_aluno,competencia,data_vencimento,data_pagamento,valor,status,chave_competencia
MEN00000001,ALU00001,2026-01-01,2026-01-10,2026-01-18,1433.42,Pago,202601
MEN00000002,ALU00001,2026-02-01,2026-02-10,2026-02-13,1492.23,Pago,202602
MEN00000003,ALU00001,2026-03-01,2026-03-10,2026-03-14,1487.3,Pago,202603
MEN00000004,ALU00001,2026-04-01,2026-04-10,2026-04-14,1492.22,Pago,202604
MEN00000005,ALU00001,2026-05-01,2026-05-10,2026-05-08,1441.42,Pago,202605
MEN00000006,ALU00001,2026-06-01,2026-06-10,2026-06-13,1415.41,Pago,202606
MEN00000007,ALU00001,2026-07-01,2026-07-10,2026-07-18,1451.99,Pago,202607
MEN00000008,ALU00001,2026-08-01,2026-08-10,2026-08-18,1476.99,Pago,202608
MEN00000009,ALU00001,2026-09-01,2026-09-10,2026-09-15,1419.39,Pago,202609
MEN00000010,ALU00001,2026-10-01,2026-10-10,2026-10-09,1434.18,Pago,202610
MEN00000011,ALU00001,2026-11-01,2026-11-10,2026-11-16,1471.11,Pago,202611
MEN00000012,ALU00001,2026-12-01,2026-12-10,2026-12-18,1441.73,Pago,202612
MEN00000013,ALU00002,2026-01-01,2026-01-10,2026-01-12,1419.9,Pago,202601
MEN00000014,ALU00002,2026-02-01,2026-02-10,2026-02-16,1445.63,Pago,202602
MEN00000015,ALU00002,2026-03-01,2026-03-10,2026-03-17,1461.86,Pago,202603
MEN00000016,ALU00002,2026-04-01,2026-04-10,,1424.7,Em Aberto,202604
MEN00000017,ALU00002,2026-05-01,2026-05-10,2026-05-16,1460.27,Pago,202605
MEN00000018,ALU00002,2026-06-01,2026-06-10,2026-06-09,1481.44,Pago,202606
MEN00000019,ALU00002,2026-07-01,2026-07-10,,1470.86,Vencido,202607
MEN00000020,ALU00002,2026-08-01,2026-08-10,2026-08-10,1435.8,Pago,202608
MEN00000021,ALU00002,2026-09-01,2026-09-10,2026-09-13,1415.71,Pago,202609
MEN00000022,ALU00002,2026-10-01,2026-10-10,2026-10-17,1420.46,Pago,202610
MEN00000023,ALU00002,2026-11-01,2026-11-10,2026-11-14,1409.77,Pago,202611
MEN00000024,ALU00002,2026-12-01,2026-12-10,2026-12-07,1492.06,Pago,202612
MEN00000025,ALU00003,2026-01-01,2026-01-10,2026-01-09,1481.07,Pago,202601
MEN00000026,ALU00003,2026-02-01,2026-02-10,2026-02-07,1485.74,Pago,202602
MEN00000027,ALU00003,2026-03-01,2026-03-10,2026-03-07,1449.62,Pago,202603
MEN00000028,ALU00003,2026-04-01,2026-04-10,2026-04-07,1487.78,Pago,202604
MEN00000029,ALU00003,2026-05-01,2026-05-10,2026-05-10,1474.54,Pago,202605
MEN00000030,ALU00003,2026-06-01,2026-06-10,,1456.25,Em Aberto,202606
MEN00000031,ALU00003,2026-07-01,2026-07-10,2026-07-14,1446.36,Pago,202607
MEN00000032,ALU00003,2026-08-01,2026-08-10,2026-08-08,1469.77,Pago,202608
MEN00000033,ALU00003,2026-09-01,2026-09-10,2026-09-11,1439.69,Pago,202609
MEN00000034,ALU00003,2026-10-01,2026-10-10,2026-10-11,1417.8,Pago,202610
MEN00000035,ALU00003,2026-11-01,2026-11-10,2026-11-08,1453.76,Pago,202611
MEN00000036,ALU00003,2026-12-01,2026-12-10,2026-12-10,1439.41,Pago,202612
MEN00000037,ALU00004,2026-01-01,2026-01-10,2026-01-16,1439.0,Pago,202601
MEN00000038,ALU00004,2026-02-01,2026-02-10,,1471.95,Vencido,202602
MEN00000039,ALU00004,2026-03-01,2026-03-10,2026-03-17,1488.95,Pago,202603
MEN00000040,ALU00004,2026-04-01,2026-04-10,2026-04-08,1419.11,Pago,202604
MEN00000041,ALU00004,2026-05-01,2026-05-10,,1462.3,Em Aberto,202605
MEN00000042,ALU00004,2026-06-01,2026-06-10,2026-06-14,1425.66,Pago,202606
MEN00000043,ALU00004,2026-07-01,2026-07-10,,1425.51,Vencido,202607
MEN00000044,ALU00004,2026-08-01,2026-08-10,2026-08-14,1434.34,Pago,202608
MEN00000045,ALU00004,2026-09-01,2026-09-10,2026-09-07,1484.27,Pago,202609
MEN00000046,ALU00004,2026-10-01,2026-10-10,2026-10-07,1459.4,Pago,202610
MEN00000047,ALU00004,2026-11-01,2026-11-10,2026-11-11,1424.81,Pago,202611
MEN00000048,ALU00004,2026-12-01,2026-12-10,,1493.35,Vencido,202612
MEN00000049,ALU00005,2026-01-01,2026-01-10,2026-01-14,1436.75,Pago,202601
MEN00000050,ALU00005,2026-02-01,2026-02-10,2026-02-11,1408.43,Pago,202602
MEN00000051,ALU00005,2026-03-01,2026-03-10,2026-03-14,1426.29,Pago,202603
MEN00000052,ALU00005,2026-04-01,2026-04-10,,1445.46,Em Aberto,202604
MEN00000053,ALU00005,2026-05-01,2026-05-10,2026-05-12,1448.74,Pago,202605
MEN00000054,ALU00005,2026-06-01,2026-06-10,,1436.83,Em Aberto,202606
MEN00000055,ALU00005,2026-07-01,2026-07-10,2026-07-09,1431.61,Pago,202607
MEN00000056,ALU00005,2026-08-01,2026-08-10,2026-08-14,1492.96,Pago,202608
MEN00000057,ALU00005,2026-09-01,2026-09-10,,1457.42,Em Aberto,202609
MEN00000058,ALU00005,2026-10-01,2026-10-10,2026-10-07,1451.51,Pago,202610
MEN00000059,ALU00005,2026-11-01,2026-11-10,2026-11-07,1433.03,Pago,202611
MEN00000060,ALU00005,2026-12-01,2026-12-10,2026-12-15,1450.06,Pago,202612
MEN00000061,ALU00006,2026-01-01,2026-01-10,2026-01-12,1468.63,Pago,202601
MEN00000062,ALU00006,2026-02-01,2026-02-10,,1423.64,Em Aberto,202602
MEN00000063,ALU00006,2026-03-01,2026-03-10,2026-03-08,1491.15,Pago,202603
MEN00000064,ALU00006,2026-04-01,2026-04-10,2026-04-15,1415.64,Pago,202604
MEN00000065,ALU00006,2026-05-01,2026-05-10,2026-05-16,1472.65,Pago,202605
MEN00000066,ALU00006,2026-06-01,2026-06-10,2026-06-16,1439.37,Pago,202606
MEN00000067,ALU00006,2026-07-01,2026-07-10,2026-07-17,1433.2,Pago,202607
MEN00000068,ALU00006,2026-08-01,2026-08-10,2026-08-08,1448.69,Pago,202608
MEN00000069,ALU00006,2026-09-01,2026-09-10,2026-09-17,1449.39,Pago,202609
MEN00000070,ALU00006,2026-10-01,2026-10-10,2026-10-07,1435.82,Pago,202610
MEN00000071,ALU00006,2026-11-01,2026-11-10,2026-11-17,1492.12,Pago,202611
MEN00000072,ALU00006,2026-12-01,2026-12-10,,1472.01,Vencido,202612
